ingredient_id,co2_per_kg,water_L_per_kg,energy_MJ_per_kg
ingredient:bay_leaves,3.731555726700571,4.3938264886,29.5
ingredient:nutmeg,4.46174437261857,1.4656240146,34.1
ingredient:paprika,18.7965247930358,4.3742990343,78.8
ingredient:poppy_seed,5.79439118464057,4.3590322886,36.2
ingredient:white_pepper_powder,18.7967633542186,4.375095484599999,78.8
ingredient:cayenne_pepper,18.7965247930358,4.3742990343,78.8
ingredient:black_pepper_powder,18.798701948435795,4.3746777473,79.0
ingredient:mix_of_spices,12.810517337335805,3.3598220603,59.8
ingredient:saffron,18.7965247930358,4.3742990343,78.8
ingredient:vanilla_alcoholic_extract,8.749370591942611,0.680444270777,55.5
ingredient:vanilla_aqueous_extract,8.749370591942611,0.680444270777,55.5
ingredient:garlic_powder_dried,3.53850540653657,0.8293855446,29.4
ingredient:garlic_fresh,0.7665688831028601,0.5520477322,6.38
ingredient:dill_fresh,1.75823777664686,5.1549029042,12.4
ingredient:basil_fresh,1.75823777664686,5.1549029042,12.4
ingredient:basil_dried,5.14803791220457,20.1807035906,35.4
ingredient:chervil_fresh,1.75823777664686,5.1549029042,12.4
ingredient:chive_or_spring_onion_fresh,1.47880344718086,0.6981743942,12.1
ingredient:coriander_fresh,2.05507602689505,1.3127526262,14.7
ingredient:tarragon_fresh,1.4694222767361,4.5359705448000005,10.9
ingredient:provence_herbs_dried,5.1662237048815705,20.3784608346,35.4
ingredient:marjoram_dried,5.14803791220457,20.1807035906,35.4
ingredient:molokhia_powder,4.3519059396645705,1.9885170906,40.5
ingredient:mint_fresh,1.4693498673630505,4.5350944542,10.9
ingredient:oregano_dried,5.14803791220457,20.1807035906,35.4
ingredient:parsley_fresh,2.2457086448020496,1.8588105202,13.6
ingredient:parsley_dried,8.67617995418457,8.112924290599999,47.6
ingredient:horseradish_fresh,1.4816413619488602,0.5258386842,12.0
ingredient:rosemary_fresh,1.75823777664686,5.1549029042,12.4
ingredient:rosemary_dried,5.14803791220457,20.1807035906,35.4
ingredient:savory_dried,5.14803791220457,20.1807035906,35.4
ingredient:sage_fresh,1.75823777664686,5.1549029042,12.4
ingredient:sage_dried,5.14803791220457,20.1807035906,35.4
ingredient:thyme_fresh,1.7583929585644005,5.155898468,12.4
ingredient:thyme_dried,5.1481224665346,20.1815000416,35.4
ingredient:cream_sauce_for_pizza_base,4.708527146401001,0.370698125,32.1
ingredient:tomato_sauce_for_pizza_base,1.961534396037,2.4773685776,24.6
ingredient:sodium_bicarbonate,3.21223075654003,2.0343992724000004,18.2
ingredient:gelatine_dried,5.2241914983750295,0.8483066153000002,22.9
ingredient:soy_lecithin,10.7844106259111,0.6731234609000001,38.2
ingredient:baking_powder_or_raising_agent,4.2161694018400295,3.8144673724,22.9
ingredient:miso,2.422484725946,2.8989521229999995,22.0
ingredient:syrup_agave,11.2568254241685,0.6759401338,127.0
ingredient:syrup_maple,4.600645169693299,2.4961754731000005,32.4
ingredient:light_syrup_for_canned_fruits_in_syrup,1.8685605975626405,0.4206635442999999,16.2
ingredient:syrup_for_canned_fruits_in_syrup,1.86877118207117,0.4227620871999999,16.2
ingredient:oat_bran,1.1792220230611,0.2743192771999999,6.92
ingredient:wheat_bran,0.7445557624739,0.0863224294999999,5.64
ingredient:maizecorn_bran,0.7937708155000999,0.3054082571999999,6.03
ingredient:rice_bran,2.2292751252361,7.0978175852000005,8.15
ingredient:tempeh,4.7353735274281,1.1755118694000002,35.6
ingredient:light_custard_cream_with_vanilla_prepacked,3.621067786271901,0.5456770715,26.2
ingredient:guacamole_prepacked,3.2817073330919007,16.8338651575,29.4
ingredient:harissa_prepacked,2.714876882353901,6.4740178515,40.6
ingredient:hummus,2.2255168488169006,1.2693591244999998,25.5
ingredient:ketchup,2.3698143106149008,0.9073197845,31.4
ingredient:mayonnaise,5.371635638606898,4.249206769500001,42.4
ingredient:mayonnaise_reduced_fat_or_light_mayonnaise,5.371635638606898,4.249206769500001,42.4
ingredient:cream_sauce,5.221517314407999,0.4627540035,41.8
ingredient:cream_sauce_with_spices,4.771553627535,0.5417673945,40.4
ingredient:cream_sauce_with_herbs,4.771553627535,0.5417673945,40.4
ingredient:cream_sauce_with_shallots_prepacked,4.742386555832001,0.5225726555000001,40.1
ingredient:sweet_and_sour_sauce_prepacked,2.454381827433,1.0573973482,32.5
ingredient:aioli_sauce_prepacked,3.2721569366469008,18.039677193500005,43.6
ingredient:americanstyle_sauce_prepacked,7.7937152824799005,0.8701787255,43.6
ingredient:armoricanstyle_sauce_prepacked,7.816259599400001,0.8743532505,45.2
ingredient:white_butter_sauce_prepacked,9.269201565286002,0.7351125572,42.2
ingredient:sauce_butter_prepacked,9.269133355927002,0.7337033774999999,42.2
ingredient:chocolate_sauce,13.758545314270998,0.4673189769999999,35.1
ingredient:curry_sauce_prepacked,2.147982069361001,1.0625466604999998,30.3
ingredient:cheese_sauce_for_risotto_or_pasta_prepacked,8.282539192692,0.6180970565,39.5
ingredient:green_pepper_sauce_prepacked,2.885141315500001,0.3285270025,33.2
ingredient:sauce_pepper_prepacked,4.064850878761,0.3931020604999999,38.5
ingredient:sauce_pepper_prepacked,4.042306561840899,0.3889275355,37.0
ingredient:roquefort_sauce_prepacked,9.269133355927002,0.7337033774999999,42.2
ingredient:red_wine_sauce,3.2847949688240003,0.5206687075,37.8
ingredient:wine_white_sweet,2.705935895440701,0.2598438347,23.2
ingredient:cream_sauce_with_mushrooms_prepacked,8.881524890926997,21.18028202850001,63.4
ingredient:mushroom_sauce_prepacked,8.252925777617001,27.2769432925,67.5
ingredient:barbecue_sauce_prepacked,2.8290892913509005,2.0391199585,35.2
ingredient:basquestyle_sauce_or_tomato_sauce_with_sweet_peppers_prepacked,2.4790756936270006,3.9171934585,36.8
ingredient:bearnaise_sauce_prepacked,10.260981096827,1.0757479765,44.2
ingredient:bechamel_sauce_homemade,4.654303333117001,0.4245165025,32.3
ingredient:bechamel_sauce_prepacked,4.654303333117001,0.4245165025,32.3
ingredient:burgundystyle_sauce_prepacked,5.175870364313899,5.1183260745,41.3
ingredient:burger_sauce_prepacked,5.349056161139899,4.2486254575,42.2
ingredient:carbonara_sauce_prepacked,10.457318003181,1.2813261004999998,56.5
ingredient:hunterstyle_sauce_prepacked,4.998321860988001,8.1629528225,42.4
ingredient:salad_dressing_reduced_fat_prepacked,5.2653523314859,4.2378574195,41.4
ingredient:salad_dressing_prepacked,5.2653523314859,4.2378574195,41.4
ingredient:grand_veneur_sauce_prepacked,5.198414681234,5.1225006005,42.8
ingredient:hollandaise_sauce_prepacked,12.590264049032,0.9985645165,46.4
ingredient:indianstyle_sauce_tandoori_or_garam_masala_type_prepacked,3.1520238702950008,1.0605759665,34.5
ingredient:kebab_sauce_prepacked,4.4829781758979,1.0999176995,37.7
ingredient:madeira_wine_sauce_prepacked,10.959013788816996,0.7232479145,38.2
ingredient:mustard_sauce_prepacked,4.6206437441008985,0.5078760265000001,39.1
ingredient:nuoc_mam_sauce_or_fish_sauce_prepacked,1.9877523096559,0.4991144245,31.5
ingredient:sauce_pesto_rosso_prepacked,5.725852793516999,11.0141425135,40.2
ingredient:sauce_pesto_prepacked,5.725852793516999,11.0141425135,40.2
ingredient:mayonnaise_flavoured_with_garlic_chilli_pepper_and_fish_broth_prepacked,4.652684812527799,3.8567382833,35.5
ingredient:soy_sauce_prepacked,1.9882710475249,0.2974498082,27.2
ingredient:tartare_sauce_prepacked,4.042427566829899,0.3914271652,37.0
ingredient:tomato_sauce_with_meat_or_bolognese_sauce_prepacked,26.412800455234,2.4316547622,60.1
ingredient:tomato_sauce_w_cheese_prepacked,3.590481271163,2.6202395352000005,38.7
ingredient:tomato_sauce_w_mushrooms_prepacked,3.548458312879001,5.6569424522,41.4
ingredient:tomato_sauce_with_onions_prepacked,2.933914667049,2.627996817200001,37.6
ingredient:tomato_sauce_w_olives_prepacked,2.919787519993,2.8397778492000008,37.6
ingredient:tomato_sauce_w_vegetables_prepacked,2.9958973300570007,3.922810831200001,38.4
ingredient:vegetable_bolognese_sauce,2.403589550589001,1.5383738346,46.9
ingredient:salad_dressing_prepacked,4.725476936499899,3.7304712255,40.3
ingredient:pure_sea_salt_no_enrichment,1.26428017599228,0.076757161,9.05
ingredient:celery_salt,1.26428017599228,0.076757161,9.05
ingredient:salt_white_for_human_consumption_iodine_added_no_other_enrichment,1.26428017599228,0.076757161,9.05
ingredient:salt_white_for_human_consumption_no_enrichment,1.26428017599228,0.076757161,9.05
ingredient:sea_salt_grey_no_enrichment,1.26428017599228,0.076757161,9.05
ingredient:biscuit_for_baby,6.068271727814,1.81547554,50.0
ingredient:instant_cereal_for_baby_from_months,4.3921800401512,1.053944351,24.0
ingredient:instant_cereal_for_baby_from_months,4.3921800401512,1.053944351,24.0
ingredient:instant_cereal_for_baby_from_months_rehydrated_with_milk_at_consumer_step,1.8224037306082008,0.3203088867,12.8
ingredient:instant_cereal_for_baby_from_months_rehydrated_with_milk_at_consumer_step,1.8224037306082008,0.3203088867,12.8
ingredient:dairy_dessert_for_baby_with_rice_or_semolina,4.983658696510001,0.941573432,34.3
ingredient:dairy_dessert_for_baby_plain_with_sugar_or_with_fruits,4.983658696510001,0.941573432,34.3
ingredient:dairy_dessert_for_baby_custard_type,4.983658696510001,0.941573432,34.3
ingredient:baby_food_jar_with_banana,3.136732272975,1.3088103520000005,31.7
ingredient:baby_food_jar_without_banana,3.136732272975,1.3088103520000005,31.7
ingredient:fruitbased_beverage_for_baby_from_months,1.6382863483254,9.8626221905,12.4
ingredient:dairy_cerealbased_beverage_with_fruits_for_babys_snack_from_months,1.7031894675141004,0.1681811430999999,9.01
ingredient:dairy_cerealbased_beverage_with_vegetables_for_babys_dinner_from_months,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,1.7257637852340006,0.1723556681,10.5
ingredient:dairy_cerealbased_beverage_for_babys_breakfast_from_months,1.7257637852340006,0.1723556681,10.5
ingredient:baby_milk_first_age_powder_non_rehydrated,16.102312771970002,1.9816537588000005,38.1
ingredient:baby_milk_first_age_powder_rehydrated_at_consumer,2.1771529749823,0.27241422351,5.15
ingredient:baby_milk_first_milk_ready_to_feed,1.5898894209812005,0.2539056796,11.7
ingredient:baby_milk_second_age_powder_non_rehydrated,16.102312771970002,1.9816537588000005,38.1
ingredient:baby_milk_second_age_powder_rehydrated_at_consumer,2.1771529749823,0.27241422351,5.15
ingredient:baby_milk_follow_on_milk_ready_to_feed,1.5898894209812005,0.2539056796,11.7
ingredient:baby_milk_growing_up_milk_ready_to_feed,1.3666726041636,0.2469491475,8.35
ingredient:baby_milk_growing_up_milk_powder_rehydrated_with_water_at_consumer_step,2.1771529749823,0.27241422351,5.15
ingredient:baby_food_jar_with_vegetables_and_starch_from_months,2.4194513509339,0.668701355,28.0
ingredient:baby_food_jar_with_vegetables_from_months,2.4194513509339,0.668701355,28.0
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_with_milkcream_and_starch_from_months,2.4212782768709005,1.2601530855999998,27.7
ingredient:vegetable_dish_for_baby_w_meatfish_and_starch_from_months,4.496024296528901,1.2780237266,41.8
ingredient:vegetable_dish_for_baby_w_meatfish_and_starch_from_months,4.496024296528901,1.2780237266,41.8
ingredient:vegetable_dish_for_baby_w_meatfish_and_starch_from_months,4.496024296528901,1.2780237266,41.8
ingredient:vegetable_dish_for_baby_w_meatfish_and_starch_from_months,4.496024296528901,1.2780237266,41.8
ingredient:vegetable_dish_for_baby_with_starch_from_months,2.1826388365639,1.3310709136,26.8
ingredient:soup_for_baby_with_vegetables_and_potatoes,1.5944661831694995,0.2736612958,23.3
ingredient:soup_for_baby_with_vegetables_cereals_and_milk,1.7203430937035,0.4251977395999999,24.1
ingredient:pure_alcohol,2.5187777747319995,0.1665522244,21.8
ingredient:winebased_aperitif,2.6263324812576,0.4042431254,22.2
ingredient:beer_regular,2.6936645988209,0.2482025555,27.3
ingredient:beer_specialty_from_abbey_or_regional,2.6936645988209,0.2482025555,27.3
ingredient:beer_special,2.6936645988209,0.2482025555,27.3
ingredient:beer_dark,2.6936645988209,0.2482025555,27.3
ingredient:beer_low_alcoholcontent,2.6936645988209,0.2482025555,27.3
ingredient:beer_strong,2.6936645988209,0.2482025555,27.3
ingredient:beer_alcoholfree,2.6936645988209,0.2482025555,27.3
ingredient:champagne,4.463664240283899,0.4038444546,36.5
ingredient:flavoured_cider,2.6607593701579004,0.7557908565000001,22.2
ingredient:cider_halfdry,2.6607593701579004,0.7557908565000001,22.2
ingredient:cider_dry,2.6607593701579004,0.7557908565000001,22.2
ingredient:cider_sweet,2.6607593701579004,0.7557908565000001,22.2
ingredient:cider,2.6607593701579004,0.7557908565000001,22.2
ingredient:rumbased_cocktail,2.19388617347,0.6935267246,17.9
ingredient:whiskeybased_cocktail,2.1088790754068008,0.1623815266,18.2
ingredient:cocktail_alcoholfree,2.253281983921,0.5819895302000001,18.6
ingredient:cocktail_punch_type_alcohol,2.5037908888829,0.8216320974000002,20.7
ingredient:blackcurrant_liqueur,3.476219102983,1.1570509435,29.2
ingredient:clear_fruit_brandy_or_eaudevie,2.5051216881111,0.1640247392,20.9
ingredient:spirit_made_from_wine_armagnac_or_cognac_type,2.5191014661876,0.1691073211,21.8
ingredient:gin,2.5187777747319995,0.1665522244,21.8
ingredient:kir,3.0984968933249006,0.4246602006,26.9
ingredient:champagne_kir,3.1229535580649,0.4528472171,27.1
ingredient:liqueur,3.18770133787,1.2384790454,23.3
ingredient:marsala_wine,2.448304206025,0.1998424679,21.8
ingredient:shandy,2.4589467463869004,0.3236300375,22.8
ingredient:shandy_prepacked,2.4589467463869004,0.3236300375,22.8
ingredient:pastis,2.5187777747319995,0.1665522244,21.8
ingredient:sparkling_fruit_wine,4.284801320262899,0.5621175583,34.8
ingredient:rum,2.5187777747319995,0.1665522244,21.8
ingredient:sake_or_rice_wine,2.5187777747319995,0.1665522244,21.8
ingredient:sangria,2.7288627226539,2.715559289493,23.3
ingredient:wine_white_sparkling,4.2737488664569,0.3882797482,35.1
ingredient:wine_white_sparkling_flavoured,4.2737488664569,0.3882797482,35.1
ingredient:wine_red,2.5381941972077,0.2305660963,22.5
ingredient:wine_white_dry,3.007438051266901,0.2648223672,26.2
ingredient:wine_rose,2.9143484714559005,0.24850023573,23.9
ingredient:yogurt_sauce,3.3546362124839,0.5809848132000001,30.6
ingredient:vodka,2.5191014661876,0.1691073211,21.8
ingredient:whisky,2.5191014661876,0.1691073211,21.8
ingredient:oatbased_drink_plain_prepacked,1.1293049711968,0.3690649981,9.58
ingredient:ricebased_drink_plain,0.7628760129639,1.0599907278999998,8.35
ingredient:coconut_water,1.6716258579408003,2.024857708,9.97
ingredient:almond_drink_not_sweet_not_fortified_prepacked,0.7614675830058,1.0615955905000003,8.26
ingredient:bottled_water_flavoured_without_sugar_and_with_artificial_sweeteners,0.7540918212970911,0.0845267427,9.25
ingredient:bottled_water_flavoured_without_sugar_and_artificial_sweeteners,0.7540918212970911,0.0845267427,9.25
ingredient:bottled_water_flavoured_w_sugar,0.7540918212970911,0.0845267427,9.25
ingredient:fruit_juice_with_milk,2.0209226831414995,9.02412129575,15.7
ingredient:soy_drink_flavoured_with_sugar,0.869413815489,0.0814770261,7.59
ingredient:soy_drink_flavoured_enriched_in_calcium_w_sugar_or_fruit_concentrate,0.869413815489,0.0814770261,7.59
ingredient:soy_drink_plain_prepacked,0.8543096762815999,0.0785574403,6.58
ingredient:soy_drink_plain_fortified_with_calcium,0.869413815489,0.0814770261,7.59
ingredient:still_soft_drink_with_tea_extract_flavoured_without_sugar_and_with_artificial_sweeteners,0.8378807411234901,0.294895489,9.55
ingredient:still_soft_drink_with_tea_extract_flavoured_with_sugar,0.8378807411234901,0.294895489,9.55
ingredient:still_soft_drink_with_tea_extract_with_sugar_and_artificial_sweetener,0.8378807411234901,0.294895489,9.55
ingredient:instant_cocoa_or_chocolate_beverage_with_sugar_fortified_with_vitamins_and_chemical_elements_readytodrink_reconstituted_with_standard_semiskimm,2.7926099178201005,0.191343341,10.0
ingredient:instant_cocoa_or_chocolate_beverage_with_sugar_readytodrink,2.7925904163193005,0.1913408919,10.0
ingredient:energy_drink_without_sugar_and_with_artificial_sweetener,1.36882006967141,0.3658730439,12.8
ingredient:energy_drink_with_sugar,1.36882006967141,0.3658730439,12.8
ingredient:fruit_soft_drink_carbonated_without_sugar_and_with_artificial_sweetener,0.7540918212970911,0.0845267427,9.25
ingredient:fruit_soft_drink_carbonated_without_sugar_and_artificial_sweetener,0.7540918212970911,0.0845267427,9.25
ingredient:fruit_soft_drink_carbonated_with_sugar,0.8183467052939001,0.2859841015,9.58
ingredient:fruit_soft_drink_carbonated_with_sugar_and_artificial_sweetener,0.8183467052939001,0.2859841015,9.58
ingredient:fruit_soft_drink_carbonated_with_sugar,0.8183467052939001,0.2859841015,9.58
ingredient:soft_drink_carbonated_without_fruit_juice_with_sugar,0.9864995106636,0.3060451781,10.4
ingredient:soft_drink_carbonated_without_fruit_juice_with_sugar_and_artificial_sweetener,0.9864995106636,0.3060451781,10.4
ingredient:strawberry_flavoured_milk_with_sugar_partially_skimmed_fortified_with_vitamins_d,3.0204332236401,0.2327299809,13.6
ingredient:chocolate_flavoured_milk_with_sugar_partially_skimmed_fortified_with_vitamins_and_chemicals_elements,3.0204187797675,0.2324317807,13.6
ingredient:fruit_soft_drink_still_reduced_sugar,1.1319081221376497,0.6488924429,11.1
ingredient:fruit_soft_drink_still_with_sugar,1.1319081221376497,0.6488924429,11.1
ingredient:fruit_soft_drink_still_with_sugar,1.1319081221376497,0.6488924429,11.1
ingredient:fruit_soft_drink_still_with_sugar,1.1319081221376497,0.6488924429,11.1
ingredient:fruit_soft_drink_still_without_sugar_and_with_artificial_sweetener,0.7540918212970911,0.0845267427,9.25
ingredient:syrup_with_sugar_diluted_in_water,0.24945876246324,0.220903495122,1.73
ingredient:cocoa_powder_without_sugar_powder_instant_non_rehydrated,58.1638281422658,0.7415586513,91.7
ingredient:coffee_with_milk_or_white_coffee_or_cappuccino_instant_coffee_or_not_without_sugar_readytodrink,1.0697946984263995,0.29650926352,5.93
ingredient:decaffeinated_instant_coffee_without_sugar_readytodrink,3.2533896167836,1.4885291796199998,16.0
ingredient:decaffeinated_not_instant_coffee_without_sugar_readytodrink,1.3658675087246004,0.61222742382,7.23
ingredient:espresso_coffee_not_instant_coffee_without_sugar_readytodrink,1.2708232615366,0.5987484155199999,6.64
ingredient:instant_coffee_without_sugar_readytodrink,3.0518895818336,1.4600369696199995,14.8
ingredient:coffee_ground,16.804667803652805,9.7065957823,54.4
ingredient:not_instant_coffee_without_sugar_readytodrink,1.2708232615366,0.5987484155199999,6.64
ingredient:mix_of_chicory_and_coffee_instant_without_sugar_readytodrink,8.967716269865798,1.4614624793,51.5
ingredient:mix_of_chicory_and_coffee_instant_without_sugar_readytodrink,4.4848846617748,1.0869063773,20.6
ingredient:instant_chicory_without_sugar_and_artificial_sweeteners_readytodrink,2.7334424725961,0.2226933240999999,10.8
ingredient:chicory_powder_instant_non_rehydrated,15.734890850855304,1.422537431,281.0
ingredient:chicory_powder_instant_readytodrink,0.3313724784635999,0.03756747521,7.03
ingredient:lemon_or_lime_base_for_beverage_without_sugar,1.1918862656932,0.340295472,9.16
ingredient:cola_without_sugar_and_with_artificial_sweetener,0.9864995106636,0.3060451781,10.4
ingredient:cola_without_sugar_with_artificial_sweetener_and_with_caffeine,0.9864995106636,0.3060451781,10.4
ingredient:cola_with_sugar,0.9864995106636,0.3060451781,10.4
ingredient:cola_with_sugar_and_artificial_sweetener,0.9864995106636,0.3060451781,10.4
ingredient:cola_with_sugar_and_without_caffeine,0.9864995106636,0.3060451781,10.4
ingredient:lemonade_with_a_flavoured_syrup,1.1004213768676,0.4978670693,11.0
ingredient:pineapple_juice_reconstituted_from_a_concentrate,1.8656298521141,0.1883940486,13.6
ingredient:pineapple_juice_pure_juice,2.4936149381321,0.2323265661,16.8
ingredient:beetroot_juice_pure_juice,1.5328579155981,0.8430895854000001,0.0
ingredient:carrot_juice_pure_juice,0.9547293840386,0.5993429597000001,9.57
ingredient:lemon_juice_pure_juice,1.6730293773679,0.6886632641000001,12.4
ingredient:mixed_red_fruits_juice_pure_juice,1.4287152668670002,0.9609236319,0.0
ingredient:mango_juice_fresh,1.1193280954221,0.5892257761999999,10.2
ingredient:grapefruit_juice_pure_juice,2.1211119600785,41.3015788821,14.8
ingredient:apple_juice_pure_juice,1.1327148461033,0.6660419512999999,10.3
ingredient:grape_juice_pure_juice,1.1582919386096,0.2976363236,9.53
ingredient:tomato_juice_pure_juice,1.2682337689156,4.0299041645,10.7
ingredient:orange_juice_reconstituted_from_a_concentrate,1.8116203980731,0.6783512312000001,12.7
ingredient:orange_juice_homemade,3.1957119491209007,2.0273148153,23.4
ingredient:mixed_fruits_juice_orange_based_multivitamin,1.5933172149821,0.5118881632000001,13.5
ingredient:fruit_juice_mixed_apple_base_standard,1.4804683153040998,0.4860044682,13.0
ingredient:mixed_fruits_juice_reconstituted_from_a_concentrate_multivitamin,1.7634104704634996,8.98230897175,14.5
ingredient:mixed_fruits_juice_pure_juice_multivitamin,1.7634104704634996,8.98230897175,14.5
ingredient:mixed_fruits_juice_pure_juice,1.7634104704634996,8.98230897175,14.5
ingredient:coconut_milk_or_coconut_cream,1.3639105735308998,0.8712707374,12.6
ingredient:lemonade_without_sugar_with_artificial_sweetener,0.9864995106636,0.3060451781,10.4
ingredient:lemonade_with_sugar,0.9864995106636,0.3060451781,10.4
ingredient:lemonade_with_sugar_and_artificial_sweetener,0.9864995106636,0.3060451781,10.4
ingredient:apricot_nectar,1.1243253790118002,1.1338403247,10.8
ingredient:banana_nectar,1.2150243501178002,0.7868572936,10.3
ingredient:mango_nectar,1.3137876535031,0.6988396612,11.3
ingredient:peach_nectar,1.1587649296698002,7.526383393000001,11.7
ingredient:pear_nectar,0.9707296545478,0.8531773103000001,10.6
ingredient:orange_nectar,1.3865059875881,0.4935453261999999,11.8
ingredient:mixed_fruits_nectar_multivitamin,1.7768546159744998,8.98476416675,14.6
ingredient:mixed_fruits_nectar,1.7768546159744998,8.98476416675,14.6
ingredient:syrup_with_sugar,1.6657846765759,1.4380917028480005,11.5
ingredient:smoothie,1.4759824455558996,0.7288292115000001,21.4
ingredient:tea_brewed_without_sugar,0.0872112688767059,0.776223085156,1.75
ingredient:black_tea_brewed_without_sugar,0.0871154542175139,0.774801556211,1.75
ingredient:oolong_tea_brewed_without_sugar,0.0871154542175139,0.774801556211,1.75
ingredient:green_tea_brewed_without_sugar,0.0871154542175139,0.774801556211,1.75
ingredient:infusion_brewed_without_sugar,0.0871154542175139,0.774801556211,1.75
ingredient:tonic_drink_without_sugar_with_artificial_sweetener,0.9866677883057002,0.3074556754999999,10.4
ingredient:tonic_drink_with_sugar,0.9866677883057002,0.3074556754999999,10.4
ingredient:tonic_drink_with_sugar_and_artificial_sweetener,0.9866677883057002,0.3074556754999999,10.4
ingredient:grapeseed_oil,3.6197137722717,0.2160256479,32.9
ingredient:water_bottled,0.64154704067094,0.09860888091,6.96
ingredient:meat_poultry_or_fish_fritters_homemade,7.751562990944,1.5030585703,59.1
ingredient:volauvent_with_meatpoultryquenelle,9.43154047618,11.935497698,70.8
ingredient:volauvent_with_fish_and_seafood,17.60831292436,0.7229118099999999,137.0
ingredient:fritter_filled_with_potatoes,6.212617087177,7.042021899300002,55.3
ingredient:fritter_filled_with_eggs,6.212617087177,7.042021899300002,55.3
ingredient:fritter_filled_with_beef,6.212617087177,7.042021899300002,55.3
ingredient:fritter_filled,6.212617087177,7.042021899300002,55.3
ingredient:savoury_cake,8.253577644010997,3.2550036583,60.5
ingredient:croissant_filled_with_ham,9.096539904783995,1.1787156423,60.8
ingredient:croissant_filled_with_ham_and_cheese,9.096539904783995,1.1787156423,60.8
